"DAC","DAR_Total.Submitted","DAR_Approved","DAR_Disapproved","DAR_Revision.Requested","DAR_In.Process","Project_Total.Submitted","Project_Approved","Project_Disapproved","Project_Revision.Requested","Project_In.Process","PI_Total.Submitted","PI_Approved","PI_Disapproved","PI_Revision.Requested","PI_In.Process","Date"
"NIDCR",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/05/2016"
"NIDDK",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2016"
"NIGMS",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/05/2016"
"NINDS",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/05/2016"
"All DACs",123,80,21,6,16,28,25,5,3,3,26,23,5,3,3,"01/05/2016"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2016"
"JAAMH",46,45,0,1,0,7,6,0,1,0,6,6,0,1,0,"01/06/2016"
"NCI DAC",23,18,5,0,0,16,15,2,0,0,16,15,2,0,0,"01/06/2016"
"NHGRI",7,7,0,0,0,5,5,0,0,0,5,5,0,0,0,"01/06/2016"
"NHLBI",8,7,0,1,0,4,4,0,1,0,4,4,0,1,0,"01/06/2016"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2016"
"NIDDK",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2016"
"NIGMS",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/06/2016"
"NINDS",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/06/2016"
"All DACs",92,84,5,3,0,28,25,2,3,0,26,24,2,3,0,"01/06/2016"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/07/2016"
"JAAMH",2,1,0,0,1,2,1,0,0,1,2,1,0,0,1,"01/07/2016"
"NCI DAC",13,12,1,0,0,10,9,1,0,0,9,8,1,0,0,"01/07/2016"
"NHGRI",25,25,0,0,0,6,6,0,0,0,6,6,0,0,0,"01/07/2016"
"NHLBI",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/07/2016"
"NIAMS",4,4,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/07/2016"
"NICHD",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/07/2016"
"NIDDK",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/07/2016"
"NINDS",5,5,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/07/2016"
"All DACs",56,54,1,0,1,19,17,1,0,1,17,15,1,0,1,"01/07/2016"
"CDAC",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/08/2016"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/08/2016"
"JAAMH",75,69,6,0,0,3,3,1,0,0,3,3,1,0,0,"01/08/2016"
"NCI DAC",10,10,0,0,0,5,5,0,0,0,5,5,0,0,0,"01/08/2016"
"NEI",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/08/2016"
"NHGRI",27,7,20,0,0,7,5,2,0,0,7,5,2,0,0,"01/08/2016"
"NHLBI",15,5,8,2,0,4,2,3,1,0,4,2,3,1,0,"01/08/2016"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/08/2016"
"NIDDK",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/08/2016"
"NINDS",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/08/2016"
"All DACs",137,100,34,3,0,12,11,3,2,0,12,11,3,2,0,"01/08/2016"
"JAAMH",2,1,0,0,1,2,1,0,0,1,2,1,0,0,1,"01/09/2016"
"NEI",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/09/2016"
"NHLBI",6,0,0,6,0,1,0,0,1,0,1,0,0,1,0,"01/09/2016"
"All DACs",10,3,0,6,1,3,2,0,1,1,3,2,0,1,1,"01/09/2016"
"JAAMH",35,26,0,9,0,5,2,0,3,0,2,2,0,1,0,"01/10/2016"
"NCI DAC",3,2,1,0,0,3,2,1,0,0,3,2,1,0,0,"01/10/2016"
"NHGRI",4,0,4,0,0,3,0,3,0,0,3,0,3,0,0,"01/10/2016"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/10/2016"
"NINDS",15,7,0,8,0,3,1,0,2,0,2,1,0,1,0,"01/10/2016"
"All DACs",58,36,5,17,0,11,4,4,5,0,6,4,4,1,0,"01/10/2016"
"JAAMH",15,14,0,1,0,11,10,0,1,0,9,8,0,1,0,"01/11/2016"
"NCI DAC",13,12,0,0,1,7,7,0,0,1,7,7,0,0,1,"01/11/2016"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/11/2016"
"NHGRI",10,10,0,0,0,5,5,0,0,0,5,5,0,0,0,"01/11/2016"
"NHLBI",25,24,1,0,0,5,5,1,0,0,5,5,1,0,0,"01/11/2016"
"NINDS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/11/2016"
"All DACs",65,62,1,1,1,24,23,1,1,1,20,19,1,1,1,"01/11/2016"
"JAAMH",15,15,0,0,0,4,4,0,0,0,4,4,0,0,0,"01/12/2016"
"NCI DAC",20,17,3,0,0,10,9,2,0,0,9,8,2,0,0,"01/12/2016"
"NEI",7,7,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/12/2016"
"NHGRI",37,28,9,0,0,11,10,1,0,0,10,9,1,0,0,"01/12/2016"
"NHLBI",17,12,3,2,0,6,4,2,1,0,6,4,2,1,0,"01/12/2016"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/12/2016"
"NINDS",7,7,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/12/2016"
"All DACs",104,87,15,2,0,21,18,4,1,0,19,16,4,1,0,"01/12/2016"
"JAAMH",19,16,0,3,0,6,5,0,2,0,5,4,0,2,0,"01/13/2016"
"NCI DAC",15,8,7,0,0,8,8,1,0,0,8,8,1,0,0,"01/13/2016"
"NEI",3,1,0,2,0,2,1,0,1,0,2,1,0,1,0,"01/13/2016"
"NHGRI",26,25,1,0,0,10,10,1,0,0,10,10,1,0,0,"01/13/2016"
"NHLBI",35,17,0,0,18,4,3,0,0,1,4,3,0,0,1,"01/13/2016"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/13/2016"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/13/2016"
"NIGMS",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/13/2016"
"NINDS",10,1,0,9,0,4,1,0,3,0,3,1,0,2,0,"01/13/2016"
"All DACs",112,72,8,14,18,28,22,1,6,1,23,20,1,4,1,"01/13/2016"
"JAAMH",11,1,0,0,10,3,1,0,0,2,3,1,0,0,2,"01/14/2016"
"NCI DAC",14,10,4,0,0,11,7,4,0,0,11,7,4,0,0,"01/14/2016"
"NEI",4,4,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/14/2016"
"NHGRI",3,2,0,0,1,2,1,0,0,1,2,1,0,0,1,"01/14/2016"
"NHLBI",19,10,0,6,3,4,2,0,1,1,4,2,0,1,1,"01/14/2016"
"NIDCR",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/14/2016"
"NINDS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/14/2016"
"All DACs",53,29,4,6,14,15,10,4,1,2,15,10,4,1,2,"01/14/2016"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/15/2016"
"JAAMH",68,54,9,0,5,7,5,2,0,1,6,5,2,0,1,"01/15/2016"
"NCI DAC",29,24,5,0,0,9,9,1,0,0,8,8,1,0,0,"01/15/2016"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/15/2016"
"NHGRI",59,58,1,0,0,5,5,1,0,0,4,4,1,0,0,"01/15/2016"
"NHLBI",30,23,7,0,0,5,5,1,0,0,4,4,1,0,0,"01/15/2016"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/15/2016"
"NIDDK",4,4,0,0,0,3,3,0,0,0,2,2,0,0,0,"01/15/2016"
"NINDS",17,17,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/15/2016"
"All DACs",210,183,22,0,5,13,12,3,0,1,12,11,3,0,1,"01/15/2016"
"NCI DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/16/2016"
"All DACs",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/16/2016"
"NCI DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/17/2016"
"All DACs",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/17/2016"
"JAAMH",31,20,0,11,0,5,4,0,3,0,3,3,0,1,0,"01/18/2016"
"NCI DAC",5,4,0,0,1,5,4,0,0,1,4,3,0,0,1,"01/18/2016"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/18/2016"
"NHGRI",15,15,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/18/2016"
"NHLBI",7,7,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/18/2016"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/18/2016"
"NIDDK",2,2,0,0,0,2,2,0,0,0,1,1,0,0,0,"01/18/2016"
"NINDS",4,4,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/18/2016"
"All DACs",66,54,0,11,1,9,8,0,3,1,7,6,0,1,1,"01/18/2016"
"ES DAC",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"01/19/2016"
"JAAMH",12,9,1,1,1,5,2,1,1,1,4,2,1,1,1,"01/19/2016"
"NCI DAC",48,41,4,0,3,16,12,4,0,2,16,12,4,0,2,"01/19/2016"
"NHGRI",30,25,2,0,3,7,6,2,0,2,7,6,2,0,2,"01/19/2016"
"NHLBI",8,3,1,2,2,5,2,1,1,1,5,2,1,1,1,"01/19/2016"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/19/2016"
"NINDS",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/19/2016"
"All DACs",103,82,8,3,10,30,21,8,2,3,29,21,8,2,3,"01/19/2016"
"CDAC",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/20/2016"
"JAAMH",3,3,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/20/2016"
"NCI DAC",30,17,13,0,0,12,8,6,0,0,12,8,6,0,0,"01/20/2016"
"NHGRI",16,4,11,0,1,7,3,3,0,1,7,3,3,0,1,"01/20/2016"
"NHLBI",38,35,1,2,0,8,6,1,1,0,7,5,1,1,0,"01/20/2016"
"NIAMS",2,0,1,1,0,2,0,1,1,0,1,0,1,1,0,"01/20/2016"
"NIGMS",4,4,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/20/2016"
"NINDS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/20/2016"
"All DACs",95,64,26,4,1,24,18,7,3,1,23,17,7,3,1,"01/20/2016"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/21/2016"
"JAAMH",3,2,0,1,0,1,1,0,1,0,1,1,0,1,0,"01/21/2016"
"NCI DAC",28,19,2,0,7,11,10,2,0,1,11,10,2,0,1,"01/21/2016"
"NHGRI",14,9,5,0,0,9,8,3,0,0,9,8,3,0,0,"01/21/2016"
"NHLBI",10,3,0,7,0,3,2,0,1,0,3,2,0,1,0,"01/21/2016"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/21/2016"
"All DACs",57,35,7,8,7,22,20,4,2,1,21,19,4,2,1,"01/21/2016"
"JAAMH",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"01/22/2016"
"NCI DAC",7,7,0,0,0,5,5,0,0,0,5,5,0,0,0,"01/22/2016"
"NHGRI",5,5,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/22/2016"
"NHLBI",7,6,0,0,1,3,2,0,0,1,3,2,0,0,1,"01/22/2016"
"All DACs",20,18,0,1,1,9,7,0,1,1,9,7,0,1,1,"01/22/2016"
"All DACs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"01/23/2016"
"NCI DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/24/2016"
"All DACs",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/24/2016"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/25/2016"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/25/2016"
"JAAMH",5,3,0,1,1,5,3,0,1,1,5,3,0,1,1,"01/25/2016"
"NCI DAC",28,26,0,2,0,5,5,0,1,0,5,5,0,1,0,"01/25/2016"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/25/2016"
"NHGRI",38,30,8,0,0,10,9,2,0,0,10,9,2,0,0,"01/25/2016"
"NHLBI",33,6,3,4,20,6,3,2,1,1,6,3,2,1,1,"01/25/2016"
"NIDCR",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/25/2016"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/25/2016"
"NINDS",3,2,0,0,1,3,2,0,0,1,3,2,0,0,1,"01/25/2016"
"All DACs",114,74,11,7,22,21,16,4,3,2,19,15,4,3,2,"01/25/2016"
"CDAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/26/2016"
"ES DAC",2,1,0,1,0,1,1,0,1,0,1,1,0,1,0,"01/26/2016"
"JAAMH",69,44,0,16,9,6,4,0,1,2,5,3,0,1,2,"01/26/2016"
"NCI DAC",116,105,8,3,0,10,9,2,1,0,10,9,2,1,0,"01/26/2016"
"NEI",11,6,5,0,0,1,1,1,0,0,1,1,1,0,0,"01/26/2016"
"NHGRI",103,100,3,0,0,8,8,1,0,0,8,8,1,0,0,"01/26/2016"
"NHLBI",40,39,0,0,1,3,2,0,0,1,3,2,0,0,1,"01/26/2016"
"NIAMS",9,9,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/26/2016"
"NICHD",7,3,0,4,0,2,2,0,1,0,2,2,0,1,0,"01/26/2016"
"NIDCR",7,7,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/26/2016"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/26/2016"
"NIGMS",15,4,4,5,2,3,2,1,1,1,3,2,1,1,1,"01/26/2016"
"NINDS",38,36,1,1,0,3,2,1,1,0,3,2,1,1,0,"01/26/2016"
"NINR DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/26/2016"
"All DACs",420,357,21,30,12,18,15,2,3,3,17,14,2,3,3,"01/26/2016"
"JAAMH",3,3,0,0,0,3,3,0,0,0,3,3,0,0,0,"01/27/2016"
"NCI DAC",7,6,1,0,0,7,6,1,0,0,7,6,1,0,0,"01/27/2016"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/27/2016"
"NHGRI",10,8,2,0,0,9,7,2,0,0,9,7,2,0,0,"01/27/2016"
"NHLBI",11,9,2,0,0,4,3,1,0,0,4,3,1,0,0,"01/27/2016"
"NIDDK",6,0,0,6,0,1,0,0,1,0,1,0,0,1,0,"01/27/2016"
"All DACs",38,27,5,6,0,18,14,4,1,0,18,14,4,1,0,"01/27/2016"
"CDAC",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/28/2016"
"JAAMH",23,5,0,1,17,4,2,0,1,1,4,2,0,1,1,"01/28/2016"
"NCI DAC",67,67,0,0,0,13,13,0,0,0,13,13,0,0,0,"01/28/2016"
"NHGRI",52,46,6,0,0,9,8,3,0,0,9,8,3,0,0,"01/28/2016"
"NHLBI",33,23,8,0,2,9,7,1,0,1,9,7,1,0,1,"01/28/2016"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/28/2016"
"NIDDK",6,6,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/28/2016"
"NINDS",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/28/2016"
"All DACs",187,153,14,1,19,27,24,4,1,2,26,24,4,1,2,"01/28/2016"
"JAAMH",20,12,0,0,8,3,2,0,0,1,3,2,0,0,1,"01/29/2016"
"NCI DAC",23,21,0,0,2,13,12,0,0,1,13,12,0,0,1,"01/29/2016"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/29/2016"
"NHGRI",28,19,7,0,2,10,8,1,0,1,10,8,1,0,1,"01/29/2016"
"NHLBI",17,9,2,0,6,9,7,1,0,1,8,6,1,0,1,"01/29/2016"
"NIDCR",2,0,1,0,1,2,0,1,0,1,2,0,1,0,1,"01/29/2016"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/29/2016"
"NIGMS",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/29/2016"
"NINDS",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/29/2016"
"All DACs",96,67,10,0,19,20,18,2,0,1,18,16,2,0,1,"01/29/2016"
"NCI DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/30/2016"
"NHGRI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/30/2016"
"All DACs",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/30/2016"
"JAAMH",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"01/31/2016"
"NCI DAC",2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,"01/31/2016"
"NHGRI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"01/31/2016"
"NHLBI",4,1,0,2,1,3,1,0,1,1,3,1,0,1,1,"01/31/2016"
"NINDS",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"01/31/2016"
"All DACs",9,4,1,2,2,7,4,1,1,2,6,3,1,1,2,"01/31/2016"
"CDAC",2,1,0,1,0,2,1,0,1,0,2,1,0,1,0,"02/01/2016"
"ES DAC",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/01/2016"
"JAAMH",117,61,6,15,35,21,17,2,4,2,18,15,1,4,2,"02/01/2016"
"NCI DAC",108,52,43,1,12,29,25,4,1,2,29,25,4,1,2,"02/01/2016"
"NEI",3,1,0,0,2,2,1,0,0,1,2,1,0,0,1,"02/01/2016"
"NHGRI",69,43,1,0,25,18,16,1,0,2,18,16,1,0,2,"02/01/2016"
"NHLBI",90,69,0,6,15,15,10,0,3,4,15,10,0,3,4,"02/01/2016"
"NIAID",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"02/01/2016"
"NIAMS",1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,"02/01/2016"
"NICHD",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/01/2016"
"NIDDK",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/01/2016"
"NIGMS",3,0,0,1,2,2,0,0,1,1,2,0,0,1,1,"02/01/2016"
"NINDS",11,11,0,0,0,5,5,0,0,0,5,5,0,0,0,"02/01/2016"
"All DACs",408,241,50,24,93,58,51,6,10,5,52,47,5,10,5,"02/01/2016"
"CDAC",2,2,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/02/2016"
"ES DAC",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"02/02/2016"
"JAAMH",115,43,5,16,51,11,8,1,1,3,11,8,1,1,3,"02/02/2016"
"NCI DAC",123,88,17,8,10,14,13,4,1,2,12,11,4,1,2,"02/02/2016"
"NEI",23,8,7,0,8,4,1,1,0,3,4,1,1,0,3,"02/02/2016"
"NHGRI",170,127,43,0,0,6,4,4,0,0,6,4,4,0,0,"02/02/2016"
"NHLBI",32,5,1,9,17,6,3,1,1,3,6,3,1,1,3,"02/02/2016"
"NIAID",8,6,0,0,2,3,1,0,0,2,3,1,0,0,2,"02/02/2016"
"NIAMS",16,8,6,0,2,3,2,1,0,2,3,2,1,0,2,"02/02/2016"
"NICHD",10,6,2,2,0,3,3,1,1,0,3,3,1,1,0,"02/02/2016"
"NIDCR",6,3,3,0,0,3,2,2,0,0,3,2,2,0,0,"02/02/2016"
"NIDDK",15,10,0,5,0,3,2,0,1,0,3,2,0,1,0,"02/02/2016"
"NIGMS",13,2,1,5,5,3,1,1,1,2,3,1,1,1,2,"02/02/2016"
"NINDS",39,30,9,0,0,4,4,1,0,0,4,4,1,0,0,"02/02/2016"
"All DACs",573,338,94,46,95,23,21,7,1,3,21,19,7,1,3,"02/02/2016"
"JAAMH",20,16,1,0,3,8,7,1,0,1,8,7,1,0,1,"02/03/2016"
"NCI DAC",26,18,2,6,0,12,10,2,1,0,11,9,2,1,0,"02/03/2016"
"NHGRI",23,21,2,0,0,7,6,1,0,0,7,6,1,0,0,"02/03/2016"
"NHLBI",21,21,0,0,0,6,6,0,0,0,6,6,0,0,0,"02/03/2016"
"NIDCR",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/03/2016"
"NIGMS",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,"02/03/2016"
"NINDS",3,3,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/03/2016"
"All DACs",95,80,5,7,3,25,21,4,2,1,24,20,4,2,1,"02/03/2016"
"JAAMH",20,14,0,6,0,4,4,0,1,0,3,3,0,1,0,"02/04/2016"
"NCI DAC",42,37,4,1,0,12,10,3,1,0,12,10,3,1,0,"02/04/2016"
"NEI",6,3,3,0,0,1,1,1,0,0,1,1,1,0,0,"02/04/2016"
"NHGRI",48,46,2,0,0,10,8,2,0,0,8,6,2,0,0,"02/04/2016"
"NHLBI",13,9,3,1,0,7,6,1,1,0,6,5,1,1,0,"02/04/2016"
"NIAMS",5,5,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/04/2016"
"NICHD",2,1,1,0,0,2,1,1,0,0,2,1,1,0,0,"02/04/2016"
"NIDDK",21,21,0,0,0,3,3,0,0,0,2,2,0,0,0,"02/04/2016"
"NIGMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/04/2016"
"NINDS",12,10,2,0,0,4,4,1,0,0,4,4,1,0,0,"02/04/2016"
"All DACs",170,147,15,8,0,26,21,8,3,0,22,17,8,3,0,"02/04/2016"
"NCI DAC",5,4,1,0,0,5,4,1,0,0,4,3,1,0,0,"02/05/2016"
"NHGRI",3,3,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/05/2016"
"NHLBI",27,22,0,2,3,3,2,0,1,1,3,2,0,1,1,"02/05/2016"
"NIAID",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/05/2016"
"All DACs",36,30,1,2,3,9,7,1,1,1,8,6,1,1,1,"02/05/2016"
"All DACs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"02/06/2016"
"JAAMH",6,6,0,0,0,2,2,0,0,0,1,1,0,0,0,"02/07/2016"
"NCI DAC",17,15,0,2,0,7,7,0,1,0,4,4,0,1,0,"02/07/2016"
"NHGRI",3,2,1,0,0,2,2,1,0,0,2,2,1,0,0,"02/07/2016"
"All DACs",26,23,1,2,0,9,9,1,1,0,5,5,1,1,0,"02/07/2016"
"JAAMH",37,32,3,0,2,6,4,1,0,1,6,4,1,0,1,"02/08/2016"
"NCI DAC",22,11,6,5,0,6,6,3,1,0,6,6,3,1,0,"02/08/2016"
"NEI",4,3,1,0,0,2,2,1,0,0,2,2,1,0,0,"02/08/2016"
"NHGRI",30,26,4,0,0,5,4,2,0,0,5,4,2,0,0,"02/08/2016"
"NHLBI",11,0,4,6,1,3,0,2,2,1,3,0,2,2,1,"02/08/2016"
"NIAID",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/08/2016"
"NIAMS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/08/2016"
"NICHD",1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,"02/08/2016"
"NIDDK",6,6,0,0,0,2,2,0,0,0,2,2,0,0,0,"02/08/2016"
"NIGMS",3,2,0,1,0,2,2,0,1,0,2,2,0,1,0,"02/08/2016"
"NINDS",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/08/2016"
"All DACs",117,83,19,12,3,13,10,5,2,2,12,10,5,2,2,"02/08/2016"
"JAAMH",20,3,0,0,17,2,1,0,0,1,2,1,0,0,1,"02/09/2016"
"NCI DAC",9,7,2,0,0,5,5,1,0,0,5,5,1,0,0,"02/09/2016"
"NEI",1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,"02/09/2016"
"NHGRI",22,21,1,0,0,4,4,1,0,0,4,4,1,0,0,"02/09/2016"
"NHLBI",9,3,1,4,1,4,2,1,2,1,3,2,1,2,1,"02/09/2016"
