"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"All DACs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/01/2016"
"All DACs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/02/2016"
"JAAMH",3.6,12.3,9.6,1.2,2.9,1.6,15.2,54.9,25.2,NA,NA,NA,NA,NA,NA,16.5,57.8,26.8,"01/03/2016"
"NCI DAC",3.2,12.7,9.5,0.5,0.8,0.7,0,0,0,0,1.1,0.6,NA,NA,NA,0.8,1.6,1.1,"01/03/2016"
"NEI",12.3,12.3,12.3,29,29,29,14.9,14.9,14.9,NA,NA,NA,NA,NA,NA,43.8,43.8,43.8,"01/03/2016"
"NHGRI",5.5,5.5,5.5,0.8,0.8,0.8,NA,NA,NA,0,0,0,NA,NA,NA,0.8,0.8,0.8,"01/03/2016"
"NINDS",5.5,12.4,10.6,0.6,0.7,0.6,11,11,11,NA,NA,NA,3,3,3,3.5,11.7,7.6,"01/03/2016"
"All DACs",3.2,12.7,9.8,0.5,29,2.8,0,54.9,19.9,0,1.1,0.4,3,3,3,0.8,57.8,17.2,"01/03/2016"
"CDAC",2.1,2.1,2.1,4.1,4.1,4.1,0,0,0,NA,NA,NA,NA,NA,NA,4.1,4.1,4.1,"01/04/2016"
"JAAMH",0,30.9,13.1,1.2,2.3,1.9,49.8,54.9,54,NA,NA,NA,54.9,54.9,54.9,51,57.2,56,"01/04/2016"
"NCI DAC",0,54,7.3,0,6.9,0.8,0,26.2,5,0.2,982.2,496.9,23.8,25,24.4,0,982.2,33.3,"01/04/2016"
"NEI",1.5,30.9,12.2,28.1,28.5,28.3,0,0,0,NA,NA,NA,NA,NA,NA,28.1,28.5,28.3,"01/04/2016"
"NHGRI",0,30.9,6.1,0,7,1.6,0,9.2,1,2.5,2.5,2.5,NA,NA,NA,0,9.4,2.7,"01/04/2016"
"NHLBI",0,30.9,9,1.7,2.3,1.8,23,23.4,23.3,23.3,28.1,26.5,0,0,0,1.8,29.9,22.4,"01/04/2016"
"NIAMS",30.9,30.9,30.9,0.8,0.8,0.8,1,1,1,NA,NA,NA,NA,NA,NA,1.8,1.8,1.8,"01/04/2016"
"NICHD",0.5,5.4,2.1,0,0.9,0.3,15.2,15.2,15.2,NA,NA,NA,0,0,0,0.1,15.3,7.7,"01/04/2016"
"NIDCR",0.1,30.9,15.5,0.8,0.9,0.8,1,7.3,3.1,7.3,7.3,7.3,NA,NA,NA,1.8,8.2,6,"01/04/2016"
"NIDDK",0,5.4,1.3,0.1,0.6,0.3,0,0,0,NA,NA,NA,0,0,0,0.1,0.5,0.2,"01/04/2016"
"NIGMS",30.9,30.9,30.9,3.9,3.9,3.9,NA,NA,NA,NA,NA,NA,0,0,0,4,4,4,"01/04/2016"
"NINDS",0.4,30.9,10,0,2.8,0.9,0,16.2,4.3,NA,NA,NA,0,0,0,0,16.2,5,"01/04/2016"
"All DACs",0,54,8.9,0,28.5,2.4,0,54.9,13.4,0.2,982.2,140.1,0,54.9,18,0,982.2,23.5,"01/04/2016"
"CDAC",9.8,9.8,9.8,3.3,3.3,3.3,0,0,0,NA,NA,NA,NA,NA,NA,3.3,3.3,3.3,"01/05/2016"
"ES DAC",4.9,4.9,4.9,1.5,1.5,1.5,1.9,1.9,1.9,NA,NA,NA,NA,NA,NA,3.4,3.4,3.4,"01/05/2016"
"JAAMH",0,42,7.6,0,5.5,1.5,46.2,54.9,52.3,88.9,88.9,88.9,54.9,54.9,54.9,49.8,89.6,57.1,"01/05/2016"
"NCI DAC",0,18.2,3.6,0,6.2,1.6,0,23.9,13.2,5,5,5,NA,NA,NA,0.2,24.1,14.6,"01/05/2016"
"NEI",0,9.8,3.7,27.1,28.7,27.6,0,0,0,NA,NA,NA,0,0,0,27.2,28.7,27.6,"01/05/2016"
"NHGRI",0,35.3,7.4,0,5.8,2.2,0,2.5,0.6,0.3,2.5,0.7,NA,NA,NA,0.1,8.3,2.8,"01/05/2016"
"NHLBI",0.6,9.8,4.5,0.8,1.2,1.1,23.1,48.9,27,26.1,26.1,26.1,0,0,0,1.2,50.1,21.8,"01/05/2016"
"NICHD",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,"01/05/2016"
"NIDCR",0,5.1,2.6,0.1,12.7,6.4,2.4,7.3,4.8,NA,NA,NA,NA,NA,NA,7.4,15.1,11.2,"01/05/2016"
"NIDDK",9.8,9.8,9.8,0,0,0,8,8,8,NA,NA,NA,NA,NA,NA,8,8,8,"01/05/2016"
"NIGMS",0,0,0,2.9,3,3,0,0.1,0.1,NA,NA,NA,NA,NA,NA,3,3,3,"01/05/2016"
"NINDS",9.8,9.8,9.8,2,2,2,0,0,0,NA,NA,NA,NA,NA,NA,2,2,2,"01/05/2016"
"All DACs",0,42,5.8,0,28.7,3.4,0,54.9,15.6,0.3,88.9,6.3,0,54.9,6.9,0,89.6,17.3,"01/05/2016"
"CDAC",1,1,1,1.9,1.9,1.9,0,0,0,NA,NA,NA,NA,NA,NA,1.9,1.9,1.9,"01/06/2016"
"JAAMH",0,9,7,0,7.7,1.9,8.3,54.9,46.7,NA,NA,NA,54.9,54.9,54.9,12.9,57.8,48.8,"01/06/2016"
